step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
127,66928,2032,0.030740800241812846,0.625,0.625,,,,,,,,,
128,67456,2048,0.03316722586643437,0.625,0.625,,,,,,,,,
129,67984,2064,0.026582573093592146,0.75,0.75,0.03267322190775929,0.6875,0.6875,,,,,,
130,68512,2080,0.0357634110277479,0.5625,0.5625,,,,,,,,,
131,69040,2096,0.030299855491047085,0.75,0.75,,,,,,,,,
132,69568,2112,0.02617642241890337,0.75,0.75,,,,,,,,,
133,70096,2128,0.03058190583710655,0.6875,0.6875,,,,,,,,,
134,70624,2144,0.033087533332930553,0.4375,0.4375,,,,,,,,,
135,71152,2160,0.037042537774327686,0.6875,0.6875,,,,,,,,,
136,71680,2176,0.026707951463965852,0.75,0.75,,,,,,,,,
137,72208,2192,0.027755278300492424,0.8125,0.8125,0.03626185617827616,0.4375,0.4375,,,,,,
138,72736,2208,0.035115715442088344,0.5,0.5,,,,,,,,,
139,73264,2224,0.031001545417420576,0.6875,0.6875,,,,,,,,,
140,73792,2240,0.02967160635707387,0.75,0.75,,,,,,,,,
141,74320,2256,0.029297553556858133,0.6875,0.6875,,,,,,,,,
142,74848,2272,0.027873496830785882,0.75,0.75,,,,,,,,,
143,75376,2288,0.03210603034694856,0.5625,0.5625,,,,,,,,,
144,75904,2304,0.02823566209977997,0.75,0.75,,,,,,,,,
145,76432,2320,0.03345726312485482,0.4375,0.4375,0.026594043384295107,0.6875,0.6875,,,,,,
146,76960,2336,0.027081441677394198,0.6875,0.6875,,,,,,,,,
147,77488,2352,0.029142254683856943,0.625,0.625,,,,,,,,,
148,78016,2368,0.030854052245873335,0.6875,0.6875,,,,,,,,,
149,78544,2384,0.02828848766219636,0.75,0.75,,,,,,,,,
150,79072,2400,0.031514806206950255,0.6875,0.6875,,,,,,,,,
151,79600,2416,0.025790301125076097,0.6875,0.6875,,,,,,,,,
152,80128,2432,0.030312798506844842,0.625,0.625,,,,,,,,,
153,80656,2448,0.03324914395748266,0.625,0.625,0.025137494127078525,0.875,0.875,,,,,,
154,81184,2464,0.02280218981543527,0.8125,0.8125,,,,,,,,,
155,81712,2480,0.0283855359684884,0.5625,0.5625,,,,,,,,,
156,82240,2496,0.03504999403281261,0.5,0.5,,,,,,,,,
157,82768,2512,0.029992905776880997,0.6875,0.6875,,,,,,,,,
158,83296,2528,0.028069886580101983,0.6875,0.6875,,,,,,,,,
159,83824,2544,0.029600079271654065,0.5625,0.5625,,,,,,,,,
160,84352,2560,0.02712684360062212,0.75,0.75,,,,,,,,,
161,84880,2576,0.033486583328656255,0.5,0.5,0.031208147005446562,0.6875,0.6875,,,,,,
162,85408,2592,0.02583752760743323,0.8125,0.8125,,,,,,,,,
163,85936,2608,0.028739703933320017,0.625,0.625,,,,,,,,,
164,86464,2624,0.027564672067778705,0.8125,0.8125,,,,,,,,,
165,86992,2640,0.03072424427922897,0.75,0.75,,,,,,,,,
166,87520,2656,0.0333424692154108,0.5625,0.5625,,,,,,,,,
167,88048,2672,0.02911952926724553,0.8125,0.8125,,,,,,,,,
168,88576,2688,0.03521295673224017,0.625,0.625,,,,,,,,,
169,89104,2704,0.025102459274448853,0.875,0.875,0.041497557733690654,0.3125,0.3125,,,,,,
170,89632,2720,0.04077251280197289,0.4375,0.4375,,,,,,,,,
171,90160,2736,0.02942213904458527,0.6875,0.6875,,,,,,,,,
172,90688,2752,0.03465199148421675,0.5625,0.5625,,,,,,,,,
173,91216,2768,0.029334654577904757,0.8125,0.8125,,,,,,,,,
174,91744,2784,0.035234531181376955,0.5625,0.5625,,,,,,,,,
175,92272,2800,0.033327787737962355,0.625,0.625,,,,,,,,,
176,92800,2816,0.025683150552998767,0.75,0.75,,,,,,,,,
177,93328,2832,0.03284075403833071,0.5625,0.5625,0.03035149281892245,0.6875,0.6875,,,,,,
178,93856,2848,0.03457598631223845,0.5625,0.5625,,,,,,,,,
179,94384,2864,0.02987032080706854,0.6875,0.6875,,,,,,,,,
180,94912,2880,0.034150775839723334,0.5,0.5,,,,,,,,,
181,95312,2896,0.022704920753987307,0.875,0.875,,,,,,,,,
182,95840,2912,0.03394367194911126,0.625,0.625,,,,,,,,,
183,96368,2928,0.03259659699495842,0.5625,0.5625,,,,,,,,,
184,96896,2944,0.03293113903691335,0.5,0.5,,,,,,,,,
185,97424,2960,0.026556581171639098,0.6875,0.6875,0.03154830982690157,0.5625,0.5625,,,,,,
186,97952,2976,0.03182929544071669,0.6875,0.6875,,,,,,,,,
187,98480,2992,0.028792297752175962,0.6875,0.6875,,,,,,,,,
188,99008,3008,0.028197064696864234,0.625,0.625,,,,,,,,,
189,99536,3024,0.029950772701946567,0.875,0.875,,,,,,,,,
190,100064,3040,0.032110831927872716,0.375,0.375,,,,,,,,,
191,100592,3056,0.028749514512839483,0.5625,0.5625,,,,,,,,,
192,101120,3072,0.029018977397533376,0.75,0.75,,,,,,,,,
193,101648,3088,0.0284000156338746,0.8125,0.8125,0.03768213372820582,0.5,0.5,,,,,,
194,102176,3104,0.03085180923759026,0.5625,0.5625,,,,,,,,,
195,102704,3120,0.030295440329104792,0.6875,0.6875,,,,,,,,,
196,103232,3136,0.02716727185610352,0.75,0.75,,,,,,,,,
197,103760,3152,0.03016013620346229,0.625,0.625,,,,,,,,,
198,104288,3168,0.032687777467611166,0.6875,0.6875,,,,,,,,,
199,104816,3184,0.029929455191724227,0.5,0.5,,,,,,,,,
200,105344,3200,0.02829598668452831,0.6875,0.6875,,,,,,,,,
201,105872,3216,0.031687013152399,0.5625,0.5625,0.0282173455791451,0.6875,0.6875,,,,,,
202,106400,3232,0.028787641917471088,0.625,0.625,,,,,,,,,
203,106928,3248,0.02554913999342858,0.75,0.75,,,,,,,,,
204,107456,3264,0.026302143499942046,0.625,0.625,,,,,,,,,
205,107984,3280,0.027710291470010022,0.8125,0.8125,,,,,,,,,
206,108512,3296,0.03164873313405394,0.5625,0.5625,,,,,,,,,
207,109040,3312,0.02369554191057759,0.625,0.625,,,,,,,,,
208,109568,3328,0.03245702549401883,0.5625,0.5625,,,,,,,,,
209,110096,3344,0.027063249399966627,0.625,0.625,0.031188372831108924,0.5,0.5,,,,,,
