step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
153,19236,612,0.026077918891784294,1.0,1.0,0.03881458142730025,0.75,0.75,,,,,,
154,19368,616,0.03989362873934852,0.5,0.5,,,,,,,,,
155,19500,620,0.027574190634991284,1.0,1.0,,,,,,,,,
156,19632,624,0.02360754655260848,1.0,1.0,,,,,,,,,
157,19732,628,0.026164555576841244,1.0,1.0,,,,,,,,,
158,19864,632,0.02922290603684246,0.75,0.75,,,,,,,,,
159,19996,636,0.028616525717778812,1.0,1.0,,,,,,,,,
160,20096,640,0.02136314028644847,1.0,1.0,,,,,,,,,
161,20228,644,0.04383508585840615,0.75,0.75,0.0286352388067769,1.0,1.0,,,,,,
162,20360,648,0.03692439702248009,0.5,0.5,,,,,,,,,
163,20492,652,0.018156076695987622,1.0,1.0,,,,,,,,,
164,20624,656,0.02268860279651335,0.75,0.75,,,,,,,,,
165,20724,660,0.0664294090712474,0.75,0.75,,,,,,,,,
166,20856,664,0.02006449841519895,1.0,1.0,,,,,,,,,
167,20988,668,0.028238315397072715,0.75,0.75,,,,,,,,,
168,21088,672,0.04574511842931315,0.75,0.75,,,,,,,,,
169,21220,676,0.0637808371454139,0.75,0.75,0.02725732043435755,1.0,1.0,,,,,,
170,21352,680,0.02720401376819609,1.0,1.0,,,,,,,,,
171,21484,684,0.019381777442738436,1.0,1.0,,,,,,,,,
172,21616,688,0.03901527198702297,0.75,0.75,,,,,,,,,
173,21716,692,0.04473940144577076,0.75,0.75,,,,,,,,,
174,21848,696,0.02020091566882002,1.0,1.0,,,,,,,,,
175,21980,700,0.0385430722802812,0.75,0.75,,,,,,,,,
176,22112,704,0.04709637616788313,0.75,0.75,,,,,,,,,
177,22244,708,0.026100073031041122,0.75,0.75,0.0204204449464919,1.0,1.0,,,,,,
178,22376,712,0.03192993409773181,1.0,1.0,,,,,,,,,
179,22508,716,0.021981339303665665,1.0,1.0,,,,,,,,,
180,22608,720,0.03370207641843081,1.0,1.0,,,,,,,,,
181,22740,724,0.02556859467989853,1.0,1.0,,,,,,,,,
182,22872,728,0.025253410365128275,0.75,0.75,,,,,,,,,
183,22972,732,0.04706813972833592,0.75,0.75,,,,,,,,,
184,23104,736,0.01904726259402196,1.0,1.0,,,,,,,,,
185,23204,740,0.023542047294905995,1.0,1.0,0.017240669328704144,1.0,1.0,,,,,,
186,23304,744,0.023718963812079896,1.0,1.0,,,,,,,,,
187,23436,748,0.04002575617536195,0.75,0.75,,,,,,,,,
188,23568,752,0.020015763286517087,1.0,1.0,,,,,,,,,
189,23700,756,0.023265579211795288,1.0,1.0,,,,,,,,,
190,23832,760,0.016159342331970947,1.0,1.0,,,,,,,,,
191,23932,764,0.03134579095669778,0.75,0.75,,,,,,,,,
192,24064,768,0.019664815126660642,1.0,1.0,,,,,,,,,
193,24196,772,0.019918931763262437,1.0,1.0,0.041091841716870484,0.75,0.75,,,,,,
194,24296,776,0.07389758972852027,0.5,0.5,,,,,,,,,
195,24428,780,0.019929094753376835,1.0,1.0,,,,,,,,,
196,24528,784,0.022097825382813126,1.0,1.0,,,,,,,,,
197,24660,788,0.02505668737182077,0.75,0.75,,,,,,,,,
198,24760,792,0.028068488652803963,1.0,1.0,,,,,,,,,
199,24892,796,0.04925839644081406,0.75,0.75,,,,,,,,,
200,25024,800,0.026670792207667094,0.75,0.75,,,,,,,,,
201,25156,804,0.028584083603464025,1.0,1.0,0.043556642166495296,0.5,0.5,,,,,,
202,25288,808,0.019922752194452185,1.0,1.0,,,,,,,,,
203,25420,812,0.03912144134474148,0.5,0.5,,,,,,,,,
204,25520,816,0.0503065823784118,0.75,0.75,,,,,,,,,
205,25652,820,0.01558633957262714,1.0,1.0,,,,,,,,,
206,25784,824,0.020365112713498095,1.0,1.0,,,,,,,,,
207,25884,828,0.026522219295996668,0.75,0.75,,,,,,,,,
